Id,Rol,Sexo,Edad,Cantidad víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Tipo de calle,Calle,Cruce,Lugar del hecho,Comuna,XY (CABA),Latitud,Longitud,Participantes,Víctima,Acusado,Rango etario
2016-0110,PEATON,MASCULINO,57,1,2016-08-24,2016,8,24,20:21:00,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Si,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,Point (95506.35959227 96696.89655626),-34.65903530,-58.51232237,PEATON-SD,PEATON,SD,ADULTOS MAYORES
2016-0111,CONDUCTOR,MASCULINO,27,1,2016-08-25,2016,8,25,09:30:00,9,AUTOPISTA,LUGONES,Si,LUGONES y LA PAMPA,15,Point (98961.36262767 105838.76329094),-34.57663634,-58.47461905,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0112,CONDUCTOR,MASCULINO,24,1,2016-08-27,2016,8,27,04:40:00,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,Si,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,Point (107392.50226602 100712.59265582),-34.62282019,-58.38268809,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,JOVENES
2016-0113,PEATON,FEMENINO,60,1,2016-08-27,2016,8,27,16:45:00,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Si,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,Point (96998.81124177 98183.20743664),-34.64564271,-58.49603546,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0114,CICLISTA,FEMENINO,55,1,2016-08-31,2016,8,31,11:20:00,11,CALLE,"SALGUERO, JERONIMO",No,"SALGUERO, JERONIMO 1410",14,Point (104111.05146856 103917.57944765),-34.59394733,-58.41848605,BICICLETA-CARGAS,BICICLETA,CARGAS,ADULTOS MAYORES
2016-0115,CONDUCTOR,MASCULINO,39,1,2016-09-02,2016,9,2,11:50:00,11,CALLE,ARIAS,Si,ARIAS y TRONADOR,12,Point (97608.87024259 108884.67029908),-34.54917673,-58.48935041,SD-CARGAS,SD,CARGAS,ADULTOS
2016-0116,CONDUCTOR,MASCULINO,30,1,2016-09-02,2016,9,2,20:20:00,20,AVENIDA,27 DE FEBRERO AV.,Si,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-34.68475866,-58.44451316,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0117,CONDUCTOR,MASCULINO,43,1,2016-09-03,2016,9,3,15:30:00,15,AVENIDA,DEL LIBERTADOR AV.,Si,DEL LIBERTADOR AV. y TAGLE,14,Point (105865.95849347 105162.71037105),-34.58271474,-58.39936478,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0118,CONDUCTOR,MASCULINO,27,1,2016-09-04,2016,9,4,03:30:00,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,No,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,Point (107696.68171812 100254.76268710),-34.62694503,-58.37936704,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0119,PASAJERO_ACOMPAÑANTE,FEMENINO,50,1,2016-09-04,2016,9,4,06:40:00,6,AVENIDA,"LARRALDE, CRISOLOGO AV.",Si,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,Point (96944.69676081 107291.52292157),-34.56353635,-58.49659234,SD-SD,SD,SD,ADULTOS
2016-0122,CICLISTA,MASCULINO,49,1,2016-09-13,2016,9,13,07:10:00,7,AVENIDA,"PERON, EVA AV.",No,"PERON, EVA AV. 4233",9,Point (99150.75069529 97484.46650280),-34.65194557,-58.47256391,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,ADULTOS
2016-0123,CONDUCTOR,FEMENINO,58,1,2016-09-14,2016,9,14,09:00:00,9,AVENIDA,ASAMBLEA AV.,Si,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,Point (101099.34592952 98750.07827754),-34.64053676,-58.45130953,MOTO-AUTO,MOTO,AUTO,ADULTOS MAYORES
2016-0124,PEATON,MASCULINO,67,1,2016-09-16,2016,9,16,15:24:00,15,AVENIDA,RIVADAVIA AV.,Si,RIVADAVIA AV. y RIVERA INDARTE AV.,7,Point (100053.89791316 100046.73776995),-34.62884871,-58.46271207,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS MAYORES
2016-0125,CONDUCTOR,MASCULINO,30,1,2016-09-17,2016,9,17,12:14:00,12,AUTOPISTA,AUTOPISTA PERITO MORENO,Si,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,Point (97532.91184699 98538.89061454),-34.64243791,-58.49020869,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0126,CONDUCTOR,MASCULINO,37,2,2016-09-18,2016,9,18,22:45:00,22,CALLE,IRIGOYEN,Si,IRIGOYEN y TINOGASTA,10,Point (94275.54271123 100886.87954649),-34.62125906,-58.52572109,AUTO-CARGAS,AUTO,CARGAS,ADULTOS
2016-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,60,2,2016-09-18,2016,9,18,22:45:00,22,CALLE,IRIGOYEN,Si,IRIGOYEN y TINOGASTA,10,Point (94275.54271123 100886.87954649),-34.62125906,-58.52572109,AUTO-CARGAS,AUTO,CARGAS,ADULTOS MAYORES
2016-0127,PEATON,MASCULINO,50,1,2016-09-24,2016,9,24,10:25:00,10,AVENIDA,"ACOSTA, MARIANO",Si,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,Point (102048.72946345 95839.63478990),-34.66677111,-58.44094791,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0128,PEATON,FEMENINO,81,1,2016-10-02,2016,10,2,11:30:00,11,AVENIDA,CASTRO,Si,CASTRO y PAVON AV.,5,Point (104049.28528337 99858.37522846),-34.63053890,-58.41914024,PEATON-PASAJEROS,PEATON,PASAJEROS,ANCIANOS
2016-0130,CONDUCTOR,MASCULINO,29,1,2016-10-04,2016,10,4,12:30:00,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,No,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,Point (107720.24059557 100176.85101454),-34.62764717,-58.37910942,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0131,PEATON,MASCULINO,35,1,2016-10-09,2016,10,9,19:13:00,19,CALLE,MIRAVE,No,MIRAVE 3500,4,Point (105921.45515383 98209.53178328),-34.64539318,-58.39871183,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0132,PASAJERO_ACOMPAÑANTE,MASCULINO,30,1,2016-10-10,2016,10,10,02:30:00,2,AVENIDA,SAN JUAN AV.,Si,SAN JUAN AV. y 24 DE NOVIEMBRE,3,Point (104853.84131654 100497.93573387),-34.62477021,-58.41036975,AUTO-PASAJEROS,AUTO,PASAJEROS,ADULTOS
2016-0133,CONDUCTOR,MASCULINO,41,1,2016-10-14,2016,10,14,00:05:00,0,AVENIDA,LAS HERAS GENERAL AV.,Si,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,Point (105619.82089682 105083.85914124),-34.58342690,-58.40204698,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0134,CONDUCTOR,MASCULINO,25,1,2016-10-23,2016,10,23,05:00:00,5,AVENIDA,PIEDRA BUENA AV.,Si,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,Point (97612.37609226 94761.81268260),-34.67648597,-58.48935287,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,JOVENES
2016-0135,PEATON,MASCULINO,29,1,2016-10-24,2016,10,24,05:00:00,5,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Si,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,Point (103734.76257993 107235.78328415),-34.56403694,-58.42260225,PEATON-SD,PEATON,SD,ADULTOS
2016-0136,CONDUCTOR,MASCULINO,39,1,2016-10-25,2016,10,25,00:00:00,0,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,No,AU BUENOS AIRES - LA PLATA KM. 4,4,0,0,0,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0137,CONDUCTOR,MASCULINO,30,1,2016-10-25,2016,10,25,00:39:00,0,AVENIDA,SAN MARTIN AV.,Si,SAN MARTIN AV. y LADINES,11,Point (95222.93546397 104315.24453153),-34.59035925,-58.51537091,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0138,CICLISTA,FEMENINO,33,1,2016-10-27,2016,10,27,20:30:00,20,AVENIDA,CABILDO AV.,Si,CABILDO AV. y BLANCO ENCALADA,13,Point (100385.69739031 107770.04028070),-34.55922742,-58.45909670,BICICLETA-CARGAS,BICICLETA,CARGAS,ADULTOS
2016-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,35,1,2016-10-28,2016,10,28,23:00:00,23,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",Si,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,Point (103965.45958231 107084.94812768),-34.56539579,-58.42008769,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0140,PASAJERO_ACOMPAÑANTE,MASCULINO,20,1,2016-10-31,2016,10,31,02:58:00,2,AVENIDA,JURAMENTO AV.,Si,JURAMENTO AV. y VUELTA DE OBLIGADO,13,Point (100700.71684791 107520.92282315),-34.56147293,-58.45566399,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,JOVENES
2016-0142,CONDUCTOR,MASCULINO,46,1,2016-11-05,2016,11,5,23:30:00,23,AVENIDA,DEL LIBERTADOR AV.,Si,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,Point (108069.68986814 104046.20018024),-34.59276462,-58.37533517,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0143,CONDUCTOR,MASCULINO,35,1,2016-11-06,2016,11,6,04:41:00,4,AVENIDA,27 DE FEBRERO AV.,Si,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-34.68475866,-58.44451316,MOTO-SD,MOTO,SD,ADULTOS
2016-0144,PEATON,MASCULINO,83,1,2016-11-07,2016,11,7,12:10:00,12,AVENIDA,"BROWN, ALTE. AV.",No,"BROWN, ALTE. AV. 984",4,Point (109494.82838112 99532.69117874),-34.63343907,-58.35975012,PEATON-PASAJEROS,PEATON,PASAJEROS,ANCIANOS
2016-0145,CONDUCTOR,MASCULINO,39,1,2016-11-07,2016,11,7,20:56:00,20,AVENIDA,DEL LIBERTADOR AV.,Si,DEL LIBERTADOR AV. y LA PAMPA,13,Point (101657.76119068 107735.39237736),-34.55953855,-58.44523595,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0146,PEATON,FEMENINO,29,1,2016-11-09,2016,11,9,20:00:00,20,AVENIDA,PICHINCHA AV.,Si,PICHINCHA AV. y BRASIL,4,Point (106147.25140863 99876.44981079),-34.63036565,-58.39626094,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0147,PASAJERO_ACOMPAÑANTE,MASCULINO,55,1,2016-11-16,2016,11,16,21:15:00,21,AVENIDA,INDEPENDENCIA AV.,Si,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,Point (106817.01972475 101248.18030272),-34.61799615,-58.38896772,MOVIL-PASAJEROS,MOVIL,PASAJEROS,ADULTOS MAYORES
2016-0148,CONDUCTOR,MASCULINO,39,1,2016-11-16,2016,11,16,22:20:00,22,AVENIDA,GARMENDIA AV.,No,GARMENDIA AV. 4895,15,Point (99810.88349598 103818.87868694),-34.59484504,-58.46536113,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0150,PASAJERO_ACOMPAÑANTE,MASCULINO,41,1,2016-11-18,2016,11,18,18:20:00,18,AVENIDA,"ALCORTA, AMANCIO AV.",Si,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,Point (104996.91619776 97395.92929535),-34.65273216,-58.40879146,CARGAS-CARGAS,CARGAS,CARGAS,ADULTOS
2016-0151,PEATON,MASCULINO,39,1,2016-11-18,2016,11,18,20:35:00,20,CALLE,SD,No,SD,0,0,0,0,PEATON-SD,PEATON,SD,ADULTOS
2016-0152,CONDUCTOR,MASCULINO,42,1,2016-11-23,2016,11,23,21:10:00,21,AVENIDA,"MORENO, PERITO AV.",Si,"MORENO, PERITO AV. y ZUVIRIA",7,Point (99888.30162107 97709.27452060),-34.64991946,-58.46451841,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0153,PEATON,FEMENINO,83,1,2016-11-25,2016,11,25,15:42:00,15,AVENIDA,ARAOZ,Si,ARAOZ y CORDOBA AV.,15,Point (103130.82393478 103817.27945358),-34.59485488,-58.42917090,PEATON-MOTO,PEATON,MOTO,ANCIANOS
2016-0154,CONDUCTOR,MASCULINO,38,1,2016-11-26,2016,11,26,14:14:00,14,GRAL PAZ,"PAZ, GRAL. AV.",No,"PAZ, GRAL. AV. 15200",8,Point (97546.12845734 94093.36420523),-34.68251141,-58.49007772,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0155,PEATON,FEMENINO,29,1,2016-11-26,2016,11,26,16:50:00,16,CALLE,MADERO,No,MADERO 900,10,Point (94107.02905618 100169.73297345),-34.62772274,-58.52756365,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0156,CONDUCTOR,MASCULINO,23,1,2016-11-26,2016,11,26,19:40:00,19,AVENIDA,INDEPENDENCIA AV.,Si,INDEPENDENCIA AV. y DEAN FUNES,3,Point (105219.14271583 101089.92439911),-34.61943202,-58.40638983,MOTO-PASAJEROS,MOTO,PASAJEROS,JOVENES
2016-0157,CONDUCTOR,MASCULINO,23,1,2016-12-03,2016,12,3,06:40:00,6,AVENIDA,"JUSTO, JUAN B. AV.",No,"JUSTO, JUAN B. AV. 5645",11,Point (98856.51878317 101315.60184716),-34.61740997,-58.47576807,MOTO-MOTO,MOTO,MOTO,JOVENES
2016-0159,CONDUCTOR,MASCULINO,23,1,2016-12-04,2016,12,4,07:21:00,7,AVENIDA,27 DE FEBRERO AV.,Si,27 DE FEBRERO AV. y ESCALADA AV.,8,Point (101721.59002217 93844.25656649),-34.68475866,-58.44451316,AUTO-SD,AUTO,SD,JOVENES
2016-0160,CONDUCTOR,MASCULINO,29,1,2016-12-06,2016,12,6,05:30:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,No,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,Point (94867.91408532 99212.26216105),-34.63635787,-58.51927194,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,ADULTOS
2016-0161,PEATON,MASCULINO,50,1,2016-12-06,2016,12,6,07:22:00,7,AVENIDA,SANTA FE AV.,Si,SANTA FE AV. y GODOY CRUZ,14,Point (103490.75904616 105613.31878847),-34.57866344,-58.42525456,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2016-0162,PEATON,MASCULINO,38,1,2016-12-07,2016,12,7,05:00:00,5,AVENIDA,"LACROZE, FEDERICO AV.",Si,"LACROZE, FEDERICO AV. y FOREST AV.",15,Point (100856.34310085 104890.83521057),-34.58518167,-58.45396573,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0163,CONDUCTOR,MASCULINO,23,1,2016-12-10,2016,12,10,07:30:00,7,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,Point (94486.28631712 103468.59928582),-34.59798754,-58.52340614,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0164,CONDUCTOR,MASCULINO,29,1,2016-12-11,2016,12,11,06:16:00,6,AVENIDA,LA PLATA AV.,Si,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,Point (103673.23003122 98676.84527702),-34.64119105,-58.42323628,AUTO-AUTO,AUTO,AUTO,ADULTOS
2016-0165,CICLISTA,MASCULINO,37,1,2016-12-12,2016,12,12,08:25:00,8,AVENIDA,"GARCIA, MARTIN AV.",No,"GARCIA, MARTIN AV. 300",4,Point (108623.21898604 100090.41541188),-34.62841919,-58.36926144,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,ADULTOS
2016-0168,CONDUCTOR,MASCULINO,43,1,2016-12-13,2016,12,13,10:40:00,10,AVENIDA,LA PLATA AV.,Si,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,Point (103673.23003122 98676.84527702),-34.64119105,-58.42323628,MOTO-AUTO,MOTO,AUTO,ADULTOS
2016-0169,CONDUCTOR,MASCULINO,24,1,2016-12-15,2016,12,15,15:30:00,15,AVENIDA,NU?EZ,Si,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,Point (98526.50846677 108043.08552265),-34.55676497,-58.47935434,MOTO-PASAJEROS,MOTO,PASAJEROS,JOVENES
2016-0170,PASAJERO_ACOMPAÑANTE,MASCULINO,21,1,2016-12-19,2016,12,19,17:10:00,17,GRAL PAZ,"PAZ, GRAL. AV.",No,"PAZ, GRAL. AV. 4500",12,Point (96082.96647324 107261.96873833),-34.56379980,-58.50598256,MOTO-AUTO,MOTO,AUTO,JOVENES
2016-0171,CONDUCTOR,MASCULINO,39,1,2016-12-25,2016,12,25,19:00:00,19,AUTOPISTA,"HUERGO, ING. AV.",Si,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,Point (108916.48040002 100856.88142642),-34.62150748,-58.36607137,MOTO-MOTO,MOTO,MOTO,ADULTOS
2016-0172,CONDUCTOR,MASCULINO,38,1,2016-12-26,2016,12,26,08:00:00,8,AVENIDA,"GARAY, JUAN DE AV.",Si,"GARAY, JUAN DE AV. y CASTRO",5,Point (104044.75501725 99724.84699960),-34.63174259,-58.41918902,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0173,CONDUCTOR,MASCULINO,35,1,2016-12-26,2016,12,26,19:52:00,19,AVENIDA,DIRECTORIO AV.,Si,DIRECTORIO AV. y SAN PEDRITO AV.,7,Point (99615.63172945 99306.93173343),-34.63551751,-58.46749188,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2016-0174,CONDUCTOR,MASCULINO,39,1,2016-12-27,2016,12,27,00:00:00,0,AUTOPISTA,AUTOPISTA 25 DE MAYO,No,AUTOPISTA 25 DE MAYO,0,0,0,0,SD-SD,SD,SD,ADULTOS
2016-0175,PEATON,FEMENINO,50,1,2016-12-27,2016,12,27,08:15:00,8,CALLE,"FALCON, RAMON L.,CNEL.",Si,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,Point (100243.74197213 99962.81893983),-34.62960517,-58.46064174,PEATON-BICICLETA,PEATON,BICICLETA,ADULTOS
2016-0176,CONDUCTOR,MASCULINO,28,1,2016-12-28,2016,12,28,01:41:00,1,AVENIDA,BELGRANO AV.,Si,BELGRANO AV. y PASEO COLON AV.,1,Point (108597.31948169 101875.41306445),-34.61232875,-58.36956186,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2016-0177,PEATON,FEMENINO,27,1,2016-12-29,2016,12,29,04:00:00,4,CALLE,ARENALES,No,ARENALES 3319,14,Point (104920.46334566 104589.99681258),-34.58788235,-58.40966671,PEATON-AUTO,PEATON,AUTO,ADULTOS
2016-0178,PEATON,FEMENINO,7,1,2016-12-30,2016,12,30,16:18:00,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,Si,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,Point (105541.07964363 101532.48653010),-34.61544091,-58.40288226,MULTIPLE,PEATON,MULTIPLE,INFANTES
2017-0001,CONDUCTOR,MASCULINO,18,1,2017-01-02,2017,1,2,01:00:00,1,AVENIDA,"JUSTO, JUAN B. AV.",Si,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,Point (99757.62471161 102105.99371863),-34.61028571,-58.46594230,MOTO-CARGAS,MOTO,CARGAS,JOVENES
2017-0003,PASAJERO_ACOMPAÑANTE,MASCULINO,33,1,2017-01-05,2017,1,5,03:10:00,3,AVENIDA,OLAVARRIA,Si,OLAVARRIA y VELEZ SARSFIELD AV.,4,Point (106759.07058844 98352.11326541),-34.64410277,-58.38957669,CARGAS-CARGAS,CARGAS,CARGAS,ADULTOS
2017-0007,PEATON,MASCULINO,48,1,2017-01-11,2017,1,11,17:00:00,17,CALLE,LIMA,Si,LIMA y MEXICO,1,Point (107491.43483173 101547.26343171),-34.61529543,-58.38161660,MULTIPLE,PEATON,MULTIPLE,ADULTOS
2017-0008,CONDUCTOR,MASCULINO,29,1,2017-01-16,2017,1,16,00:40:00,0,CALLE,"CABRERA, JOSE A.",Si,"CABRERA, JOSE A. y BONPLAND",14,Point (102213.80136590 104917.03799721),-34.58494351,-58.43917004,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2017-0009,CONDUCTOR,MASCULINO,36,1,2017-01-16,2017,1,16,13:56:00,13,AUTOPISTA,AUTOPISTA 25 DE MAYO,No,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,Point (104341.1368196 100202.74363294),-34.62743346,-58.41595919,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2017-0010,CONDUCTOR,MASCULINO,23,1,2017-01-16,2017,1,16,16:30:00,16,AVENIDA,DIRECTORIO AV.,Si,DIRECTORIO AV. y RIGLOS,6,Point (102535.57417570 100108.76675064),-34.62828656,-58.43564880,MOTO-AUTO,MOTO,AUTO,JOVENES
2017-0011,PASAJERO_ACOMPAÑANTE,FEMENINO,29,1,2017-01-22,2017,1,22,02:30:00,2,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,Point (96563.66494817 108815.73881056),-34.54979510,-58.50073810,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,ADULTOS
2017-0012,CONDUCTOR,MASCULINO,30,1,2017-01-24,2017,1,24,14:00:00,14,CALLE,TRAFUL,Si,"TRAFUL y TABORDA, DIOGENES",4,Point (104914.66823035 97637.72796868),-34.65055290,-58.40969005,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2017-0013,PEATON,MASCULINO,4,1,2017-01-27,2017,1,27,07:00:00,7,AVENIDA,"IRIARTE, GRAL. AV.",No,"IRIARTE, GRAL. AV. 3055",4,Point (106744.80812193 97588.11558612),-34.65098981,-58.38972622,PEATON-CARGAS,PEATON,CARGAS,INFANTES
2017-0014,PASAJERO_ACOMPAÑANTE,FEMENINO,22,1,2017-01-28,2017,1,28,08:27:34,8,AVENIDA,DONADO,Si,DONADO y ARIAS,12,Point (97378.59173196 108741.41437861),-34.55046754,-58.49185972,MULTIPLE,MOTO,MULTIPLE,JOVENES
2017-0015,PEATON,MASCULINO,82,1,2017-02-02,2017,2,2,15:18:03,15,AVENIDA,CORDOBA AV.,Si,CORDOBA AV. y CALLAO AV.,2,Point (106454.66355436 103285.14730222),-34.59963642,-58.39293417,PEATON-AUTO,PEATON,AUTO,ANCIANOS
2017-0016,CONDUCTOR,MASCULINO,27,1,2017-02-03,2017,2,3,05:12:21,5,AUTOPISTA,AUTOPISTA 25 DE MAYO,No,AUTOPISTA 25 DE MAYO KM. 8.3,1,Point (107547.76713701 100705.57738660),-34.62288231,-58.38099494,MOTO-CARGAS,MOTO,CARGAS,ADULTOS
2017-0017,CONDUCTOR,MASCULINO,32,1,2017-02-06,2017,2,6,08:00:00,8,AVENIDA,"JUSTO, JUAN B. AV.",Si,"JUSTO, JUAN B. AV. y PARAGUAY",14,Point (103145.91571023 105359.30690018),-34.58095431,-58.42901200,MOTO-AUTO,MOTO,AUTO,ADULTOS
2017-0018,CONDUCTOR,MASCULINO,30,1,2017-02-09,2017,2,9,07:00:00,7,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,Point (95832.05571093 95505.41641999),-34.66977709,-58.50877521,MOTO-AUTO,MOTO,AUTO,ADULTOS
2017-0021,CONDUCTOR,MASCULINO,43,1,2017-02-18,2017,2,18,05:30:00,5,CALLE,SARMIENTO,Si,SARMIENTO y LIBERTAD,1,Point (107308.24054153 102678.45528316),-34.60509972,-58.38362373,MOTO-PASAJEROS,MOTO,PASAJEROS,ADULTOS
2017-0024,PEATON,MASCULINO,39,1,2017-02-23,2017,2,23,20:50:00,20,AVENIDA,RIVADAVIA AV.,No,RIVADAVIA AV. 7121,7,Point (99762.20699423 99968.05446003),-34.62955795,-58.46589308,PEATON-PASAJEROS,PEATON,PASAJEROS,ADULTOS
2017-0025,CONDUCTOR,MASCULINO,23,1,2017-02-24,2017,2,24,17:05:00,17,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Si,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,Point (102489.38230491 97228.94942016),-34.65424640,-58.43614426,MOTO-SD,MOTO,SD,JOVENES
2017-0026,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2,2017-02-26,2017,2,26,05:15:00,5,AVENIDA,"MORENO, PERITO AV.",Si,"MORENO, PERITO AV. y FOURNIER",4,Point (104113.67806500 97722.68219304),-34.64979057,-58.41842777,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,JOVENES
2017-0026,CONDUCTOR,MASCULINO,19,2,2017-02-26,2017,2,26,05:15:00,5,AVENIDA,"MORENO, PERITO AV.",Si,"MORENO, PERITO AV. y FOURNIER",4,Point (104113.67806500 97722.68219304),-34.64979057,-58.41842777,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,JOVENES
2017-0027,PEATON,MASCULINO,39,1,2017-02-26,2017,2,26,21:57:00,21,AVENIDA,CASEROS AV.,No,CASEROS AV. 1429,1,Point (107333.53318866 99701.77552382),-34.63193250,-58.38332245,PEATON-AUTO,PEATON,AUTO,ADULTOS
2017-0028,PEATON,MASCULINO,87,1,2017-02-28,2017,2,28,09:20:00,9,AVENIDA,GAONA AV.,Si,GAONA AV. y FRAGATA PRES. SARMIENTO,6,Point (100783.70757056 101919.87125456),-34.61196327,-58.45475488,PEATON-AUTO,PEATON,AUTO,ANCIANOS
2017-0029,CONDUCTOR,MASCULINO,34,1,2017-03-07,2017,3,7,02:15:00,2,CALLE,MOZART,Si,MOZART y TANDIL,9,Point (98009.35575364 97985.81952007),-34.64742455,-58.48501341,SD-AUTO,SD,AUTO,ADULTOS
2017-0030,CONDUCTOR,FEMENINO,27,1,2017-03-07,2017,3,7,08:00:00,8,AVENIDA,MOZART,Si,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,Point (99375.77435905 96732.87189547),-34.65872088,-58.47010988,AUTO-PASAJEROS,AUTO,PASAJEROS,ADULTOS
2017-0031,PASAJERO_ACOMPAÑANTE,MASCULINO,70,1,2017-03-11,2017,3,11,01:30:00,1,CALLE,24 DE NOVIEMBRE,Si,24 DE NOVIEMBRE y PAVON,3,Point (104889.75647602 100057.93817815),-34.62873635,-58.40997560,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,ADULTOS MAYORES
2017-0032,PASAJERO_ACOMPAÑANTE,FEMENINO,40,1,2017-03-12,2017,3,12,05:00:00,5,GRAL PAZ,"PAZ, GRAL. AV.",Si,"PAZ, GRAL. AV. y LOS CEDROS",8,Point (97652.09135282 93973.55833508),-34.68359163,-58.48892175,AUTO-AUTO,AUTO,AUTO,ADULTOS
